Item,Dietary Fiber,Sugars
Egg McMuffin,0.571429,0.0234375
Egg White Delight,0.571429,0.0234375
Sausage McMuffin,0.571429,0.015625
Sausage McMuffin with Egg,0.571429,0.015625
Sausage McMuffin with Egg Whites,0.571429,0.015625
Steak & Egg McMuffin,0.571429,0.0234375
Bacon, Egg & Cheese Biscuit (Regular Biscuit),0.015625
Bacon, Egg & Cheese Biscuit (Large Biscuit),0.0234375
Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit),0.015625
Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit),0.0234375
Sausage Biscuit (Regular Biscuit),0.285714,0.015625
Sausage Biscuit (Large Biscuit),0.428571,0.0234375
Sausage Biscuit with Egg (Regular Biscuit),0.285714,0.015625
Sausage Biscuit with Egg (Large Biscuit),0.428571,0.0234375
Sausage Biscuit with Egg Whites (Regular Biscuit),0.285714,0.0234375
Sausage Biscuit with Egg Whites (Large Biscuit),0.428571,0.0234375
Southern Style Chicken Biscuit (Regular Biscuit),0.285714,0.0234375
Southern Style Chicken Biscuit (Large Biscuit),0.428571,0.03125
Steak & Egg Biscuit (Regular Biscuit),0.285714,0.0234375
Bacon, Egg & Cheese McGriddles,0.015625
Bacon, Egg & Cheese McGriddles with Egg Whites,0.015625
Sausage McGriddles,0.285714,0.117188
Sausage, Egg & Cheese McGriddles,0.015625
Sausage, Egg & Cheese McGriddles with Egg Whites,0.015625
Bacon, Egg & Cheese Bagel,0.0234375
Bacon, Egg & Cheese Bagel with Egg Whites,0.0234375
Steak, Egg & Cheese Bagel,0.0234375
Big Breakfast (Regular Biscuit),0.428571,0.0234375
Big Breakfast (Large Biscuit),0.571429,0.0234375
Big Breakfast with Egg Whites (Regular Biscuit),0.428571,0.0234375
Big Breakfast with Egg Whites (Large Biscuit),0.571429,0.03125
Big Breakfast with Hotcakes (Regular Biscuit),0.857143,0.132813
Big Breakfast with Hotcakes (Large Biscuit),1,0.132813
Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),0.857143,0.132813
Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),1,0.140625
Hotcakes,0.428571,0.109375
Hotcakes and Sausage,0.428571,0.109375
Sausage Burrito,0.142857,0.015625
Hash Brown,0.285714,0
Cinnamon Melts,0.428571,0.25
Fruit & Maple Oatmeal,0.714286,0.25
Fruit & Maple Oatmeal without Brown Sugar,0.714286,0.140625
Big Mac,0.428571,0.0703125
Quarter Pounder with Cheese,0.428571,0.078125
Quarter Pounder with Bacon & Cheese,0.428571,0.09375
Quarter Pounder with Bacon Habanero Ranch,0.428571,0.078125
Quarter Pounder Deluxe,0.428571,0.0703125
Double Quarter Pounder with Cheese,0.428571,0.078125
Hamburger,0.142857,0.046875
Cheeseburger,0.285714,0.0546875
Double Cheeseburger,0.285714,0.0546875
Bacon Clubhouse Burger,0.571429,0.109375
McDouble,0.285714,0.0546875
Bacon McDouble,0.285714,0.0546875
Daily Double,0.285714,0.0546875
Jalapeño Double,0.285714,0.046875
McRib,0.428571,0.0859375
Premium Crispy Chicken Classic Sandwich,0.428571,0.078125
Premium Grilled Chicken Classic Sandwich,0.428571,0.0625
Premium Crispy Chicken Club Sandwich,0.428571,0.0859375
Premium Grilled Chicken Club Sandwich,0.428571,0.0703125
Premium Crispy Chicken Ranch BLT Sandwich,0.428571,0.0859375
Premium Grilled Chicken Ranch BLT Sandwich,0.428571,0.0703125
Bacon Clubhouse Crispy Chicken Sandwich,0.571429,0.125
Bacon Clubhouse Grilled Chicken Sandwich,0.571429,0.109375
Southern Style Crispy Chicken Sandwich,0.285714,0.0546875
McChicken,0.285714,0.0390625
Bacon Cheddar McChicken,0.285714,0.046875
Bacon Buffalo Ranch McChicken,0.285714,0.046875
Buffalo Ranch McChicken,0.285714,0.0390625
Premium McWrap Chicken & Bacon (Crispy Chicken),0.428571,0.0546875
Premium McWrap Chicken & Bacon (Grilled Chicken),0.428571,0.046875
Premium McWrap Chicken & Ranch (Crispy Chicken),0.428571,0.0625
Premium McWrap Chicken & Ranch (Grilled Chicken),0.428571,0.046875
Premium McWrap Southwest Chicken (Crispy Chicken),0.714286,0.09375
Premium McWrap Southwest Chicken (Grilled Chicken),0.714286,0.078125
Premium McWrap Chicken Sweet Chili (Crispy Chicken),0.428571,0.109375
Premium McWrap Chicken Sweet Chili (Grilled Chicken),0.428571,0.09375
Chicken McNuggets (4 piece),0.142857,0
Chicken McNuggets (6 piece),0.142857,0
Chicken McNuggets (10 piece),0.285714,0
Chicken McNuggets (20 piece),0.428571,0
Chicken McNuggets (40 piece),0.857143,0.0078125
Filet-O-Fish,0.285714,0.0390625
Premium Bacon Ranch Salad (without Chicken),0.428571,0.03125
Premium Bacon Ranch Salad with Crispy Chicken,0.285714,0.0390625
Premium Bacon Ranch Salad with Grilled Chicken,0.285714,0.03125
Premium Southwest Salad (without Chicken),0.857143,0.046875
Premium Southwest Salad with Crispy Chicken,1,0.09375
Premium Southwest Salad with Grilled Chicken,1,0.078125
Chipotle BBQ Snack Wrap (Crispy Chicken),0.142857,0.0625
Chipotle BBQ Snack Wrap (Grilled Chicken),0.142857,0.0546875
Honey Mustard Snack Wrap (Crispy Chicken),0.142857,0.0234375
Honey Mustard Snack Wrap (Grilled Chicken),0.142857,0.015625
Ranch Snack Wrap (Crispy Chicken),0.142857,0.0234375
Ranch Snack Wrap (Grilled Chicken),0.142857,0.015625
Small French Fries,0.285714,0
Medium French Fries,0.571429,0
Large French Fries,0.714286,0
Kids French Fries,0.142857,0
Side Salad,0.142857,0.015625
Apple Slices,0,0.0234375
Fruit 'n Yogurt Parfait,0.142857,0.179688
Baked Apple Pie,0.571429,0.101563
Chocolate Chip Cookie,0.142857,0.117188
Oatmeal Raisin Cookie,0.142857,0.101563
Kids Ice Cream Cone,0,0.046875
Hot Fudge Sundae,0.142857,0.375
Hot Caramel Sundae,0,0.335938
Strawberry Sundae,0,0.351563
Coca-Cola Classic (Small),0,0.304688
Coca-Cola Classic (Medium),0,0.429688
Coca-Cola Classic (Large),0,0.59375
Coca-Cola Classic (Child),0,0.21875
Diet Coke (Small),0,0
Diet Coke (Medium),0,0
Diet Coke (Large),0,0
Diet Coke (Child),0,0
Dr Pepper (Small),0,0.273438
Dr Pepper (Medium),0,0.398438
Dr Pepper (Large),0,0.546875
Dr Pepper (Child),0,0.203125
Diet Dr Pepper (Small),0,0
Diet Dr Pepper (Medium),0,0
Diet Dr Pepper (Large),0,0
Diet Dr Pepper (Child),0,0
Sprite (Small),0,0.289063
Sprite (Medium),0,0.421875
Sprite (Large),0,0.578125
Sprite (Child),0,0.210938
1% Low Fat Milk Jug,0,0.09375
Fat Free Chocolate Milk Jug,0.142857,0.171875
Minute Maid 100% Apple Juice Box,0,0.148438
Minute Maid Orange Juice (Small),0,0.234375
Minute Maid Orange Juice (Medium),0,0.304688
Minute Maid Orange Juice (Large),0,0.453125
Dasani Water Bottle,0,0
Iced Tea (Small),0,0
Iced Tea (Medium),0,0
Iced Tea (Large),0,0
Iced Tea (Child),0,0
Sweet Tea (Small),0,0.28125
Sweet Tea (Medium),0,0.351563
Sweet Tea (Large),0,0.421875
Sweet Tea (Child),0,0.210938
Coffee (Small),0,0
Coffee (Medium),0,0
Coffee (Large),0,0
Latte (Small),0.142857,0.09375
Latte (Medium),0.142857,0.117188
Latte (Large),0.142857,0.15625
Caramel Latte (Small),0.142857,0.296875
Caramel Latte (Medium),0.142857,0.375
Caramel Latte (Large),0.142857,0.460938
Hazelnut Latte (Small),0.142857,0.296875
Hazelnut Latte (Medium),0.142857,0.367188
Hazelnut Latte (Large),0.142857,0.453125
French Vanilla Latte (Small),0.142857,0.28125
French Vanilla Latte (Medium),0.142857,0.351563
French Vanilla Latte (Large),0.142857,0.4375
Latte with Sugar Free French Vanilla Syrup (Small),0.142857,0.09375
Latte with Sugar Free French Vanilla Syrup (Medium),0.142857,0.117188
Latte with Sugar Free French Vanilla Syrup (Large),0.285714,0.15625
Nonfat Latte (Small),0.142857,0.101563
Nonfat Latte (Medium),0.142857,0.125
Nonfat Latte (Large),0.142857,0.164063
Nonfat Caramel Latte (Small),0.142857,0.304688
Nonfat Caramel Latte (Medium),0.142857,0.375
Nonfat Caramel Latte (Large),0.142857,0.460938
Nonfat Hazelnut Latte (Small),0.142857,0.296875
Nonfat Hazelnut Latte (Medium),0.142857,0.375
Nonfat Hazelnut Latte (Large),0.142857,0.460938
Nonfat French Vanilla Latte (Small),0.142857,0.289063
Nonfat French Vanilla Latte (Medium),0.142857,0.359375
Nonfat French Vanilla Latte (Large),0.142857,0.4375
Nonfat Latte with Sugar Free French Vanilla Syrup (Small),0.142857,0.101563
Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),0.142857,0.125
Nonfat Latte with Sugar Free French Vanilla Syrup (Large),0.285714,0.164063
Mocha (Small),0.285714,0.328125
Mocha (Medium),0.285714,0.414063
Mocha (Large),0.285714,0.492188
Mocha with Nonfat Milk (Small),0.285714,0.335938
Mocha with Nonfat Milk (Medium),0.285714,0.414063
Mocha with Nonfat Milk (Large),0.285714,0.5
Caramel Mocha (Small),0.142857,0.3125
Caramel Mocha (Medium),0.142857,0.390625
Caramel Mocha (Large),0.142857,0.46875
Nonfat Caramel Mocha (Small),0.142857,0.320313
Nonfat Caramel Mocha (Medium),0.142857,0.398438
Nonfat Caramel Mocha (Large),0.142857,0.476563
Hot Chocolate (Small),0.142857,0.351563
Hot Chocolate (Medium),0.142857,0.4375
Hot Chocolate (Large),0.142857,0.53125
Hot Chocolate with Nonfat Milk (Small),0.142857,0.359375
Hot Chocolate with Nonfat Milk (Medium),0.142857,0.445313
Hot Chocolate with Nonfat Milk (Large),0.142857,0.539063
Regular Iced Coffee (Small),0,0.171875
Regular Iced Coffee (Medium),0,0.234375
Regular Iced Coffee (Large),0,0.351563
Caramel Iced Coffee (Small),0,0.164063
Caramel Iced Coffee (Medium),0,0.21875
Caramel Iced Coffee (Large),0,0.328125
Hazelnut Iced Coffee (Small),0,0.15625
Hazelnut Iced Coffee (Medium),0,0.21875
Hazelnut Iced Coffee (Large),0,0.320313
French Vanilla Iced Coffee (Small),0,0.148438
French Vanilla Iced Coffee (Medium),0,0.203125
French Vanilla Iced Coffee (Large),0,0.304688
Iced Coffee with Sugar Free French Vanilla Syrup (Small),0,0.0078125
Iced Coffee with Sugar Free French Vanilla Syrup (Medium),0,0.015625
Iced Coffee with Sugar Free French Vanilla Syrup (Large),0,0.015625
Iced Mocha (Small),0.142857,0.265625
Iced Mocha (Medium),0.142857,0.335938
Iced Mocha (Large),0.285714,0.484375
Iced Mocha with Nonfat Milk (Small),0.142857,0.273438
Iced Mocha with Nonfat Milk (Medium),0.142857,0.335938
Iced Mocha with Nonfat Milk (Large),0.285714,0.484375
Iced Caramel Mocha (Small),0,0.257813
Iced Caramel Mocha (Medium),0.142857,0.320313
Iced Caramel Mocha (Large),0.142857,0.460938
Iced Nonfat Caramel Mocha (Small),0,0.257813
Iced Nonfat Caramel Mocha (Medium),0.142857,0.320313
Iced Nonfat Caramel Mocha (Large),0.142857,0.460938
Frappé Mocha (Small),0.142857,0.445313
Frappé Mocha (Medium),0.142857,0.554688
Frappé Mocha (Large),0.142857,0.6875
Frappé Caramel (Small),0,0.445313
Frappé Caramel (Medium),0,0.554688
Frappé Caramel (Large),0,0.6875
Frappé Chocolate Chip (Small),0.142857,0.523438
Frappé Chocolate Chip (Medium),0.142857,0.632813
Frappé Chocolate Chip (Large),0.142857,0.773438
Blueberry Pomegranate Smoothie (Small),0.428571,0.34375
Blueberry Pomegranate Smoothie (Medium),0.571429,0.421875
Blueberry Pomegranate Smoothie (Large),0.714286,0.546875
Strawberry Banana Smoothie (Small),0.428571,0.34375
Strawberry Banana Smoothie (Medium),0.428571,0.421875
Strawberry Banana Smoothie (Large),0.571429,0.546875
Mango Pineapple Smoothie (Small),0.142857,0.359375
Mango Pineapple Smoothie (Medium),0.142857,0.4375
Mango Pineapple Smoothie (Large),0.285714,0.5625
Vanilla Shake (Small),0,0.492188
Vanilla Shake (Medium),0,0.632813
Vanilla Shake (Large),0,0.789063
Strawberry Shake (Small),0,0.617188
Strawberry Shake (Medium),0,0.78125
Strawberry Shake (Large),0,0.960938
Chocolate Shake (Small),0.142857,0.601563
Chocolate Shake (Medium),0.285714,0.757813
Chocolate Shake (Large),0.285714,0.9375
Shamrock Shake (Medium),0,0.726563
Shamrock Shake (Large),0,0.898438
McFlurry with M&M’s Candies (Small),0.142857,0.695313
McFlurry with M&M’s Candies (Medium),0.285714,1
McFlurry with M&M’s Candies (Snack),0.142857,0.460938
McFlurry with Oreo Cookies (Small),0.142857,0.5
McFlurry with Oreo Cookies (Medium),0.142857,0.664063
McFlurry with Oreo Cookies (Snack),0.142857,0.335938
McFlurry with Reese's Peanut Butter Cups (Medium),0.285714,0.804688
McFlurry with Reese's Peanut Butter Cups (Snack),0.142857,0.398438
