Item,Dietary Fiber,Sugars,Protein
Egg McMuffin,4,3,17
Egg White Delight,4,3,18
Sausage McMuffin,4,2,14
Sausage McMuffin with Egg,4,2,21
Sausage McMuffin with Egg Whites,4,2,21
Steak & Egg McMuffin,4,3,26
Bacon, Egg & Cheese Biscuit (Regular Biscuit),2,3,19
Bacon, Egg & Cheese Biscuit (Large Biscuit),3,4,19
Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit),2,3,20
Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit),3,4,20
Sausage Biscuit (Regular Biscuit),2,2,11
Sausage Biscuit (Large Biscuit),3,3,11
Sausage Biscuit with Egg (Regular Biscuit),2,2,18
Sausage Biscuit with Egg (Large Biscuit),3,3,18
Sausage Biscuit with Egg Whites (Regular Biscuit),2,3,18
Sausage Biscuit with Egg Whites (Large Biscuit),3,3,18
Southern Style Chicken Biscuit (Regular Biscuit),2,3,17
Southern Style Chicken Biscuit (Large Biscuit),3,4,17
Steak & Egg Biscuit (Regular Biscuit),2,3,25
Bacon, Egg & Cheese McGriddles,2,15,19
Bacon, Egg & Cheese McGriddles with Egg Whites,2,16,20
Sausage McGriddles,2,15,11
Sausage, Egg & Cheese McGriddles,2,15,20
Sausage, Egg & Cheese McGriddles with Egg Whites,2,15,21
Bacon, Egg & Cheese Bagel,3,7,30
Bacon, Egg & Cheese Bagel with Egg Whites,3,8,30
Steak, Egg & Cheese Bagel,3,7,33
Big Breakfast (Regular Biscuit),3,3,28
Big Breakfast (Large Biscuit),4,3,28
Big Breakfast with Egg Whites (Regular Biscuit),3,3,26
Big Breakfast with Egg Whites (Large Biscuit),4,4,26
Big Breakfast with Hotcakes (Regular Biscuit),6,17,36
Big Breakfast with Hotcakes (Large Biscuit),7,17,36
Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),6,17,35
Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),7,18,35
Hotcakes,3,14,8
Hotcakes and Sausage,3,14,15
Sausage Burrito,1,2,12
Hash Brown,2,0,1
Cinnamon Melts,3,32,6
Fruit & Maple Oatmeal,5,32,5
Fruit & Maple Oatmeal without Brown Sugar,5,18,5
Big Mac,3,9,24
Quarter Pounder with Cheese,3,10,30
Quarter Pounder with Bacon & Cheese,3,12,37
Quarter Pounder with Bacon Habanero Ranch,3,10,37
Quarter Pounder Deluxe,3,9,29
Double Quarter Pounder with Cheese,3,10,48
Hamburger,1,6,12
Cheeseburger,2,7,15
Double Cheeseburger,2,7,24
Bacon Clubhouse Burger,4,14,39
McDouble,2,7,22
Bacon McDouble,2,7,27
Daily Double,2,7,22
Jalapeño Double,2,6,22
McRib,3,11,22
Premium Crispy Chicken Classic Sandwich,3,10,24
Premium Grilled Chicken Classic Sandwich,3,8,28
Premium Crispy Chicken Club Sandwich,3,11,36
Premium Grilled Chicken Club Sandwich,3,9,40
Premium Crispy Chicken Ranch BLT Sandwich,3,11,32
Premium Grilled Chicken Ranch BLT Sandwich,3,9,36
Bacon Clubhouse Crispy Chicken Sandwich,4,16,36
Bacon Clubhouse Grilled Chicken Sandwich,4,14,40
Southern Style Crispy Chicken Sandwich,2,7,21
McChicken,2,5,14
Bacon Cheddar McChicken,2,6,22
Bacon Buffalo Ranch McChicken,2,6,20
Buffalo Ranch McChicken,2,5,14
Premium McWrap Chicken & Bacon (Crispy Chicken),3,7,32
Premium McWrap Chicken & Bacon (Grilled Chicken),3,6,36
Premium McWrap Chicken & Ranch (Crispy Chicken),3,8,27
Premium McWrap Chicken & Ranch (Grilled Chicken),3,6,30
Premium McWrap Southwest Chicken (Crispy Chicken),5,12,27
Premium McWrap Southwest Chicken (Grilled Chicken),5,10,31
Premium McWrap Chicken Sweet Chili (Crispy Chicken),3,14,23
Premium McWrap Chicken Sweet Chili (Grilled Chicken),3,12,27
Chicken McNuggets (4 piece),1,0,9
Chicken McNuggets (6 piece),1,0,13
Chicken McNuggets (10 piece),2,0,22
Chicken McNuggets (20 piece),3,0,44
Chicken McNuggets (40 piece),6,1,87
Filet-O-Fish,2,5,15
Premium Bacon Ranch Salad (without Chicken),3,4,9
Premium Bacon Ranch Salad with Crispy Chicken,2,5,25
Premium Bacon Ranch Salad with Grilled Chicken,2,4,29
Premium Southwest Salad (without Chicken),6,6,6
Premium Southwest Salad with Crispy Chicken,7,12,23
Premium Southwest Salad with Grilled Chicken,7,10,27
Chipotle BBQ Snack Wrap (Crispy Chicken),1,8,14
Chipotle BBQ Snack Wrap (Grilled Chicken),1,7,16
Honey Mustard Snack Wrap (Crispy Chicken),1,3,14
Honey Mustard Snack Wrap (Grilled Chicken),1,2,16
Ranch Snack Wrap (Crispy Chicken),1,3,15
Ranch Snack Wrap (Grilled Chicken),1,2,16
Small French Fries,2,0,2
Medium French Fries,4,0,4
Large French Fries,5,0,6
Kids French Fries,1,0,1
Side Salad,1,2,1
Apple Slices,0,3,0
Fruit 'n Yogurt Parfait,1,23,4
Baked Apple Pie,4,13,2
Chocolate Chip Cookie,1,15,2
Oatmeal Raisin Cookie,1,13,2
Kids Ice Cream Cone,0,6,1
Hot Fudge Sundae,1,48,8
Hot Caramel Sundae,0,43,7
Strawberry Sundae,0,45,6
Coca-Cola Classic (Small),0,39,0
Coca-Cola Classic (Medium),0,55,0
Coca-Cola Classic (Large),0,76,0
Coca-Cola Classic (Child),0,28,0
Diet Coke (Small),0,0,0
Diet Coke (Medium),0,0,0
Diet Coke (Large),0,0,0
Diet Coke (Child),0,0,0
Dr Pepper (Small),0,35,0
Dr Pepper (Medium),0,51,0
Dr Pepper (Large),0,70,0
Dr Pepper (Child),0,26,0
Diet Dr Pepper (Small),0,0,2
Diet Dr Pepper (Medium),0,0,3
Diet Dr Pepper (Large),0,0,4
Diet Dr Pepper (Child),0,0,1
Sprite (Small),0,37,0
Sprite (Medium),0,54,0
Sprite (Large),0,74,0
Sprite (Child),0,27,0
1% Low Fat Milk Jug,0,12,8
Fat Free Chocolate Milk Jug,1,22,9
Minute Maid 100% Apple Juice Box,0,19,0
Minute Maid Orange Juice (Small),0,30,2
Minute Maid Orange Juice (Medium),0,39,3
Minute Maid Orange Juice (Large),0,58,4
Dasani Water Bottle,0,0,0
Iced Tea (Small),0,0,0
Iced Tea (Medium),0,0,0
Iced Tea (Large),0,0,0
Iced Tea (Child),0,0,0
Sweet Tea (Small),0,36,1
Sweet Tea (Medium),0,45,1
Sweet Tea (Large),0,54,1
Sweet Tea (Child),0,27,0
Coffee (Small),0,0,0
Coffee (Medium),0,0,0
Coffee (Large),0,0,0
Latte (Small),1,12,9
Latte (Medium),1,15,11
Latte (Large),1,20,15
Caramel Latte (Small),1,38,9
Caramel Latte (Medium),1,48,11
Caramel Latte (Large),1,59,15
Hazelnut Latte (Small),1,38,9
Hazelnut Latte (Medium),1,47,11
Hazelnut Latte (Large),1,58,15
French Vanilla Latte (Small),1,36,9
French Vanilla Latte (Medium),1,45,11
French Vanilla Latte (Large),1,56,15
Latte with Sugar Free French Vanilla Syrup (Small),1,12,9
Latte with Sugar Free French Vanilla Syrup (Medium),1,15,12
Latte with Sugar Free French Vanilla Syrup (Large),2,20,15
Nonfat Latte (Small),1,13,10
Nonfat Latte (Medium),1,16,12
Nonfat Latte (Large),1,21,16
Nonfat Caramel Latte (Small),1,39,10
Nonfat Caramel Latte (Medium),1,48,12
Nonfat Caramel Latte (Large),1,59,16
Nonfat Hazelnut Latte (Small),1,38,10
Nonfat Hazelnut Latte (Medium),1,48,12
Nonfat Hazelnut Latte (Large),1,59,16
Nonfat French Vanilla Latte (Small),1,37,10
Nonfat French Vanilla Latte (Medium),1,46,12
Nonfat French Vanilla Latte (Large),1,56,16
Nonfat Latte with Sugar Free French Vanilla Syrup (Small),1,13,10
Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),1,16,12
Nonfat Latte with Sugar Free French Vanilla Syrup (Large),2,21,16
Mocha (Small),2,42,10
Mocha (Medium),2,53,13
Mocha (Large),2,63,16
Mocha with Nonfat Milk (Small),2,43,11
Mocha with Nonfat Milk (Medium),2,53,13
Mocha with Nonfat Milk (Large),2,64,17
Caramel Mocha (Small),1,40,10
Caramel Mocha (Medium),1,50,12
Caramel Mocha (Large),1,60,16
Nonfat Caramel Mocha (Small),1,41,10
Nonfat Caramel Mocha (Medium),1,51,13
Nonfat Caramel Mocha (Large),1,61,17
Hot Chocolate (Small),1,45,11
Hot Chocolate (Medium),1,56,14
Hot Chocolate (Large),1,68,17
Hot Chocolate with Nonfat Milk (Small),1,46,12
Hot Chocolate with Nonfat Milk (Medium),1,57,14
Hot Chocolate with Nonfat Milk (Large),1,69,19
Regular Iced Coffee (Small),0,22,1
Regular Iced Coffee (Medium),0,30,1
Regular Iced Coffee (Large),0,45,2
Caramel Iced Coffee (Small),0,21,1
Caramel Iced Coffee (Medium),0,28,1
Caramel Iced Coffee (Large),0,42,2
Hazelnut Iced Coffee (Small),0,20,1
Hazelnut Iced Coffee (Medium),0,28,1
Hazelnut Iced Coffee (Large),0,41,2
French Vanilla Iced Coffee (Small),0,19,1
French Vanilla Iced Coffee (Medium),0,26,1
French Vanilla Iced Coffee (Large),0,39,2
Iced Coffee with Sugar Free French Vanilla Syrup (Small),0,1,1
Iced Coffee with Sugar Free French Vanilla Syrup (Medium),0,2,1
Iced Coffee with Sugar Free French Vanilla Syrup (Large),0,2,2
Iced Mocha (Small),1,34,8
Iced Mocha (Medium),1,43,9
Iced Mocha (Large),2,62,14
Iced Mocha with Nonfat Milk (Small),1,35,8
Iced Mocha with Nonfat Milk (Medium),1,43,10
Iced Mocha with Nonfat Milk (Large),2,62,14
Iced Caramel Mocha (Small),0,33,8
Iced Caramel Mocha (Medium),1,41,9
Iced Caramel Mocha (Large),1,59,13
Iced Nonfat Caramel Mocha (Small),0,33,8
Iced Nonfat Caramel Mocha (Medium),1,41,10
Iced Nonfat Caramel Mocha (Large),1,59,14
Frappé Mocha (Small),1,57,7
Frappé Mocha (Medium),1,71,9
Frappé Mocha (Large),1,88,11
Frappé Caramel (Small),0,57,7
Frappé Caramel (Medium),0,71,9
Frappé Caramel (Large),0,88,11
Frappé Chocolate Chip (Small),1,67,8
Frappé Chocolate Chip (Medium),1,81,9
Frappé Chocolate Chip (Large),1,99,12
Blueberry Pomegranate Smoothie (Small),3,44,2
Blueberry Pomegranate Smoothie (Medium),4,54,3
Blueberry Pomegranate Smoothie (Large),5,70,4
Strawberry Banana Smoothie (Small),3,44,3
Strawberry Banana Smoothie (Medium),3,54,4
Strawberry Banana Smoothie (Large),4,70,5
Mango Pineapple Smoothie (Small),1,46,2
Mango Pineapple Smoothie (Medium),1,56,3
Mango Pineapple Smoothie (Large),2,72,4
Vanilla Shake (Small),0,63,11
Vanilla Shake (Medium),0,81,14
Vanilla Shake (Large),0,101,18
Strawberry Shake (Small),0,79,12
Strawberry Shake (Medium),0,100,15
Strawberry Shake (Large),0,123,18
Chocolate Shake (Small),1,77,12
Chocolate Shake (Medium),2,97,15
Chocolate Shake (Large),2,120,19
Shamrock Shake (Medium),0,93,14
Shamrock Shake (Large),0,115,18
McFlurry with M&M’s Candies (Small),1,89,13
McFlurry with M&M’s Candies (Medium),2,128,20
McFlurry with M&M’s Candies (Snack),1,59,9
McFlurry with Oreo Cookies (Small),1,64,12
McFlurry with Oreo Cookies (Medium),1,85,15
McFlurry with Oreo Cookies (Snack),1,43,8
McFlurry with Reese's Peanut Butter Cups (Medium),2,103,21
McFlurry with Reese's Peanut Butter Cups (Snack),1,51,10
