Item,Cholesterol,Sodium,Sodium (% Daily Value)
Egg McMuffin,0.452174,0.208333,0.0205298
Egg White Delight,0.0434783,0.213889,0.0211921
Sausage McMuffin,0.0782609,0.216667,0.0218543
Sausage McMuffin with Egg,0.495652,0.238889,0.0238411
Sausage McMuffin with Egg Whites,0.0869565,0.244444,0.0245033
Steak & Egg McMuffin,0.521739,0.266667,0.0264901
"Bacon,0,0.0230556,0.860927
"Bacon,0,0.0230556,0.933775
"Bacon,0,0.00305556,0.860927
"Bacon,0,0.00305556,0.940397
Sausage Biscuit (Regular Biscuit),0.0521739,0.3,0.0298013
Sausage Biscuit (Large Biscuit),0.0521739,0.330556,0.0331126
Sausage Biscuit with Egg (Regular Biscuit),0.434783,0.325,0.0324503
Sausage Biscuit with Egg (Large Biscuit),0.434783,0.355556,0.0350993
Sausage Biscuit with Egg Whites (Regular Biscuit),0.0608696,0.327778,0.0324503
Sausage Biscuit with Egg Whites (Large Biscuit),0.0608696,0.358333,0.0357616
Southern Style Chicken Biscuit (Regular Biscuit),0.0521739,0.327778,0.0324503
Southern Style Chicken Biscuit (Large Biscuit),0.0521739,0.358333,0.0357616
Steak & Egg Biscuit (Regular Biscuit),0.486957,0.408333,0.0403974
"Bacon,0,0.0233333,0.827815
"Bacon,0,0.00305556,0.827815
Sausage McGriddles,0.0608696,0.286111,0.0284768
"Sausage,0,0.0247222,0.874172
"Sausage,0,0.00472222,0.874172
"Bacon,0.000869565,0.0255556,0.980132
"Bacon,0.000869565,0.00555556,0.980132
"Steak,0.0026087,0.0275,1
Big Breakfast (Regular Biscuit),0.965217,0.433333,0.0430464
Big Breakfast (Large Biscuit),0.965217,0.466667,0.0463576
Big Breakfast with Egg Whites (Regular Biscuit),0.0608696,0.441667,0.0437086
Big Breakfast with Egg Whites (Large Biscuit),0.0608696,0.472222,0.0470199
Big Breakfast with Hotcakes (Regular Biscuit),1,0.597222,0.0596026
Big Breakfast with Hotcakes (Large Biscuit),1,0.627778,0.0622517
Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),0.0956522,0.602778,0.0602649
Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),0.0956522,0.636111,0.0629139
Hotcakes,0.0347826,0.163889,0.015894
Hotcakes and Sausage,0.0869565,0.258333,0.0258278
Sausage Burrito,0.2,0.219444,0.0218543
Hash Brown,0,0.0861111,0.00860927
Cinnamon Melts,0.026087,0.102778,0.00993377
Fruit & Maple Oatmeal,0.00869565,0.0444444,0.00463576
Fruit & Maple Oatmeal without Brown Sugar,0.00869565,0.0319444,0.00331126
Big Mac,0.147826,0.266667,0.0264901
Quarter Pounder with Cheese,0.165217,0.305556,0.0304636
Quarter Pounder with Bacon & Cheese,0.182609,0.4,0.0397351
Quarter Pounder with Bacon Habanero Ranch,0.182609,0.327778,0.0324503
Quarter Pounder Deluxe,0.147826,0.266667,0.0264901
Double Quarter Pounder with Cheese,0.278261,0.355556,0.0350993
Hamburger,0.0521739,0.133333,0.013245
Cheeseburger,0.0782609,0.188889,0.018543
Double Cheeseburger,0.156522,0.288889,0.0284768
Bacon Clubhouse Burger,0.2,0.408333,0.0403974
McDouble,0.130435,0.233333,0.0231788
Bacon McDouble,0.156522,0.308333,0.0304636
Daily Double,0.13913,0.211111,0.0211921
Jalapeño Double,0.13913,0.286111,0.0284768
McRib,0.121739,0.272222,0.0271523
Premium Crispy Chicken Classic Sandwich,0.0782609,0.275,0.0271523
Premium Grilled Chicken Classic Sandwich,0.113043,0.227778,0.0225166
Premium Crispy Chicken Club Sandwich,0.147826,0.391667,0.0390728
Premium Grilled Chicken Club Sandwich,0.182609,0.347222,0.0344371
Premium Crispy Chicken Ranch BLT Sandwich,0.121739,0.388889,0.0384106
Premium Grilled Chicken Ranch BLT Sandwich,0.156522,0.341667,0.0337748
Bacon Clubhouse Crispy Chicken Sandwich,0.156522,0.477778,0.0476821
Bacon Clubhouse Grilled Chicken Sandwich,0.191304,0.433333,0.0430464
Southern Style Crispy Chicken Sandwich,0.0782609,0.252778,0.0251656
McChicken,0.0608696,0.222222,0.0218543
Bacon Cheddar McChicken,0.113043,0.35,0.0350993
Bacon Buffalo Ranch McChicken,0.0869565,0.35,0.0350993
Buffalo Ranch McChicken,0.0608696,0.275,0.0271523
Premium McWrap Chicken & Bacon (Crispy Chicken),0.13913,0.427778,0.0423841
Premium McWrap Chicken & Bacon (Grilled Chicken),0.165217,0.380556,0.0377483
Premium McWrap Chicken & Ranch (Crispy Chicken),0.113043,0.372222,0.0370861
Premium McWrap Chicken & Ranch (Grilled Chicken),0.13913,0.325,0.0324503
Premium McWrap Southwest Chicken (Crispy Chicken),0.104348,0.411111,0.0410596
Premium McWrap Southwest Chicken (Grilled Chicken),0.13913,0.366667,0.0364238
Premium McWrap Chicken Sweet Chili (Crispy Chicken),0.0869565,0.35,0.0344371
Premium McWrap Chicken Sweet Chili (Grilled Chicken),0.113043,0.302778,0.0298013
Chicken McNuggets (4 piece),0.0434783,0.1,0.00993377
Chicken McNuggets (6 piece),0.0695652,0.15,0.0145695
Chicken McNuggets (10 piece),0.113043,0.25,0.0245033
Chicken McNuggets (20 piece),0.234783,0.5,0.0496689
Chicken McNuggets (40 piece),0.46087,1,0.0993377
Filet-O-Fish,0.0695652,0.163889,0.015894
Premium Bacon Ranch Salad (without Chicken),0.0434783,0.0833333,0.00860927
Premium Bacon Ranch Salad with Crispy Chicken,0.121739,0.238889,0.0238411
Premium Bacon Ranch Salad with Grilled Chicken,0.147826,0.191667,0.0192053
Premium Southwest Salad (without Chicken),0.0173913,0.0416667,0.00397351
Premium Southwest Salad with Crispy Chicken,0.0869565,0.236111,0.0231788
Premium Southwest Salad with Grilled Chicken,0.121739,0.188889,0.018543
Chipotle BBQ Snack Wrap (Crispy Chicken),0.0521739,0.216667,0.0218543
Chipotle BBQ Snack Wrap (Grilled Chicken),0.0695652,0.194444,0.0192053
Honey Mustard Snack Wrap (Crispy Chicken),0.0608696,0.202778,0.0198675
Honey Mustard Snack Wrap (Grilled Chicken),0.0782609,0.180556,0.0178808
Ranch Snack Wrap (Crispy Chicken),0.0695652,0.225,0.0225166
Ranch Snack Wrap (Grilled Chicken),0.0782609,0.2,0.0198675
Small French Fries,0,0.0361111,0.00331126
Medium French Fries,0,0.0527778,0.00529801
Large French Fries,0,0.0805556,0.00794702
Kids French Fries,0,0.0180556,0.00198675
Side Salad,0,0.00277778,0
Apple Slices,0,0,0
Fruit 'n Yogurt Parfait,0.00869565,0.0194444,0.00198675
Baked Apple Pie,0,0.0472222,0.00463576
Chocolate Chip Cookie,0.0173913,0.025,0.00264901
Oatmeal Raisin Cookie,0.0173913,0.0375,0.00397351
Kids Ice Cream Cone,0.00869565,0.00555556,0.000662252
Hot Fudge Sundae,0.0434783,0.0472222,0.00463576
Hot Caramel Sundae,0.0521739,0.0416667,0.00397351
Strawberry Sundae,0.0434783,0.0236111,0.00264901
Coca-Cola Classic (Small),0,0,0
Coca-Cola Classic (Medium),0,0.00138889,0
Coca-Cola Classic (Large),0,0.00138889,0
Coca-Cola Classic (Child),0,0,0
Diet Coke (Small),0,0.00277778,0
Diet Coke (Medium),0,0.00555556,0.000662252
Diet Coke (Large),0,0.00972222,0.000662252
Diet Coke (Child),0,0.00416667,0.000662252
Dr Pepper (Small),0,0.0125,0.0013245
Dr Pepper (Medium),0,0.0180556,0.00198675
Dr Pepper (Large),0,0.025,0.00264901
Dr Pepper (Child),0,0.00833333,0.000662252
Diet Dr Pepper (Small),0,0.0194444,0.00198675
Diet Dr Pepper (Medium),0,0.0277778,0.00264901
Diet Dr Pepper (Large),0,0.0388889,0.00397351
Diet Dr Pepper (Child),0,0.0138889,0.0013245
Sprite (Small),0,0.00833333,0.000662252
Sprite (Medium),0,0.0125,0.0013245
Sprite (Large),0,0.0166667,0.00198675
Sprite (Child),0,0.00694444,0.000662252
1% Low Fat Milk Jug,0.0173913,0.0347222,0.00331126
Fat Free Chocolate Milk Jug,0.00869565,0.0375,0.00397351
Minute Maid 100% Apple Juice Box,0,0.00416667,0.000662252
Minute Maid Orange Juice (Small),0,0,0
Minute Maid Orange Juice (Medium),0,0,0
Minute Maid Orange Juice (Large),0,0.00138889,0
Dasani Water Bottle,0,0,0
Iced Tea (Small),0,0.00277778,0
Iced Tea (Medium),0,0.00277778,0
Iced Tea (Large),0,0.00416667,0.000662252
Iced Tea (Child),0,0.00138889,0
Sweet Tea (Small),0,0.00277778,0
Sweet Tea (Medium),0,0.00277778,0
Sweet Tea (Large),0,0.00277778,0.000662252
Sweet Tea (Child),0,0.00138889,0
Coffee (Small),0,0,0
Coffee (Medium),0,0,0
Coffee (Large),0,0,0
Latte (Small),0.0434783,0.0319444,0.00331126
Latte (Medium),0.0521739,0.0388889,0.00397351
Latte (Large),0.0695652,0.05,0.00529801
Caramel Latte (Small),0.0434783,0.0319444,0.00331126
Caramel Latte (Medium),0.0521739,0.0388889,0.00397351
Caramel Latte (Large),0.0695652,0.05,0.00529801
Hazelnut Latte (Small),0.0434783,0.0319444,0.00331126
Hazelnut Latte (Medium),0.0521739,0.0388889,0.00397351
Hazelnut Latte (Large),0.0695652,0.05,0.00529801
French Vanilla Latte (Small),0.0434783,0.0319444,0.00331126
French Vanilla Latte (Medium),0.0521739,0.0388889,0.00397351
French Vanilla Latte (Large),0.0695652,0.0527778,0.00529801
Latte with Sugar Free French Vanilla Syrup (Small),0.0434783,0.0416667,0.00397351
Latte with Sugar Free French Vanilla Syrup (Medium),0.0521739,0.0527778,0.00529801
Latte with Sugar Free French Vanilla Syrup (Large),0.0695652,0.0666667,0.00662252
Nonfat Latte (Small),0.00869565,0.0305556,0.00331126
Nonfat Latte (Medium),0.00869565,0.0375,0.00397351
Nonfat Latte (Large),0.0173913,0.05,0.00463576
Nonfat Caramel Latte (Small),0.00869565,0.0305556,0.00331126
Nonfat Caramel Latte (Medium),0.00869565,0.0375,0.00397351
Nonfat Caramel Latte (Large),0.0173913,0.05,0.00463576
Nonfat Hazelnut Latte (Small),0.00869565,0.0305556,0.00331126
Nonfat Hazelnut Latte (Medium),0.00869565,0.0375,0.00397351
Nonfat Hazelnut Latte (Large),0.0173913,0.05,0.00463576
Nonfat French Vanilla Latte (Small),0.00869565,0.0319444,0.00331126
Nonfat French Vanilla Latte (Medium),0.00869565,0.0388889,0.00397351
Nonfat French Vanilla Latte (Large),0.0173913,0.05,0.00529801
Nonfat Latte with Sugar Free French Vanilla Syrup (Small),0.00869565,0.0416667,0.00397351
Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),0.00869565,0.05,0.00529801
Nonfat Latte with Sugar Free French Vanilla Syrup (Large),0.0173913,0.0666667,0.00662252
Mocha (Small),0.0608696,0.0416667,0.00397351
Mocha (Medium),0.0695652,0.0527778,0.00529801
Mocha (Large),0.0869565,0.0666667,0.00662252
Mocha with Nonfat Milk (Small),0.026087,0.0416667,0.00397351
Mocha with Nonfat Milk (Medium),0.026087,0.0527778,0.00529801
Mocha with Nonfat Milk (Large),0.0347826,0.0666667,0.00662252
Caramel Mocha (Small),0.0608696,0.0472222,0.00463576
Caramel Mocha (Medium),0.0695652,0.0611111,0.00596026
Caramel Mocha (Large),0.0869565,0.075,0.00728477
Nonfat Caramel Mocha (Small),0.026087,0.0472222,0.00463576
Nonfat Caramel Mocha (Medium),0.026087,0.0583333,0.00596026
Nonfat Caramel Mocha (Large),0.0347826,0.075,0.00728477
Hot Chocolate (Small),0.0695652,0.05,0.00529801
Hot Chocolate (Medium),0.0869565,0.0611111,0.00596026
Hot Chocolate (Large),0.104348,0.0777778,0.00794702
Hot Chocolate with Nonfat Milk (Small),0.026087,0.05,0.00463576
Hot Chocolate with Nonfat Milk (Medium),0.026087,0.0611111,0.00596026
Hot Chocolate with Nonfat Milk (Large),0.0347826,0.0777778,0.00794702
Regular Iced Coffee (Small),0.026087,0.00972222,0.000662252
Regular Iced Coffee (Medium),0.0434783,0.0138889,0.0013245
Regular Iced Coffee (Large),0.0608696,0.0208333,0.00198675
Caramel Iced Coffee (Small),0.026087,0.00972222,0.0013245
Caramel Iced Coffee (Medium),0.0434783,0.0138889,0.0013245
Caramel Iced Coffee (Large),0.0608696,0.0180556,0.00198675
Hazelnut Iced Coffee (Small),0.026087,0.00972222,0.000662252
Hazelnut Iced Coffee (Medium),0.0434783,0.0138889,0.0013245
Hazelnut Iced Coffee (Large),0.0608696,0.0208333,0.00198675
French Vanilla Iced Coffee (Small),0.026087,0.0111111,0.0013245
French Vanilla Iced Coffee (Medium),0.0434783,0.0152778,0.0013245
French Vanilla Iced Coffee (Large),0.0608696,0.0222222,0.00198675
Iced Coffee with Sugar Free French Vanilla Syrup (Small),0.026087,0.0180556,0.00198675
Iced Coffee with Sugar Free French Vanilla Syrup (Medium),0.0434783,0.025,0.00264901
Iced Coffee with Sugar Free French Vanilla Syrup (Large),0.0608696,0.0375,0.00397351
Iced Mocha (Small),0.0608696,0.0347222,0.00331126
Iced Mocha (Medium),0.0695652,0.0416667,0.00397351
Iced Mocha (Large),0.0869565,0.0611111,0.00596026
Iced Mocha with Nonfat Milk (Small),0.0347826,0.0347222,0.00331126
Iced Mocha with Nonfat Milk (Medium),0.0347826,0.0416667,0.00397351
Iced Mocha with Nonfat Milk (Large),0.0434783,0.0611111,0.00596026
Iced Caramel Mocha (Small),0.0608696,0.0388889,0.00397351
Iced Caramel Mocha (Medium),0.0695652,0.0472222,0.00463576
Iced Caramel Mocha (Large),0.0869565,0.0694444,0.00662252
Iced Nonfat Caramel Mocha (Small),0.0347826,0.0388889,0.00397351
Iced Nonfat Caramel Mocha (Medium),0.0347826,0.0472222,0.00463576
Iced Nonfat Caramel Mocha (Large),0.0434783,0.0694444,0.00662252
Frappé Mocha (Small),0.113043,0.0347222,0.00331126
Frappé Mocha (Medium),0.130435,0.0444444,0.00463576
Frappé Mocha (Large),0.156522,0.0527778,0.00529801
Frappé Caramel (Small),0.113043,0.0347222,0.00331126
Frappé Caramel (Medium),0.13913,0.0444444,0.00463576
Frappé Caramel (Large),0.165217,0.0527778,0.00529801
Frappé Chocolate Chip (Small),0.113043,0.0375,0.00397351
Frappé Chocolate Chip (Medium),0.13913,0.0444444,0.00463576
Frappé Chocolate Chip (Large),0.165217,0.0555556,0.00529801
Blueberry Pomegranate Smoothie (Small),0.00869565,0.0111111,0.0013245
Blueberry Pomegranate Smoothie (Medium),0.00869565,0.0138889,0.0013245
Blueberry Pomegranate Smoothie (Large),0.00869565,0.0180556,0.00198675
Strawberry Banana Smoothie (Small),0.00869565,0.0138889,0.0013245
Strawberry Banana Smoothie (Medium),0.00869565,0.0166667,0.0013245
Strawberry Banana Smoothie (Large),0.00869565,0.0222222,0.00198675
Mango Pineapple Smoothie (Small),0.00869565,0.0111111,0.0013245
Mango Pineapple Smoothie (Medium),0.00869565,0.0125,0.0013245
Mango Pineapple Smoothie (Large),0.00869565,0.0166667,0.00198675
Vanilla Shake (Small),0.104348,0.0444444,0.00463576
Vanilla Shake (Medium),0.130435,0.0555556,0.00596026
Vanilla Shake (Large),0.156522,0.0722222,0.00728477
Strawberry Shake (Small),0.104348,0.0444444,0.00463576
Strawberry Shake (Medium),0.130435,0.0583333,0.00596026
Strawberry Shake (Large),0.156522,0.0722222,0.00728477
Chocolate Shake (Small),0.104348,0.0666667,0.00662252
Chocolate Shake (Medium),0.130435,0.0833333,0.00860927
Chocolate Shake (Large),0.147826,0.105556,0.010596
Shamrock Shake (Medium),0.130435,0.0583333,0.00596026
Shamrock Shake (Large),0.156522,0.0722222,0.00728477
McFlurry with M&M’s Candies (Small),0.0869565,0.05,0.00463576
McFlurry with M&M’s Candies (Medium),0.130435,0.0722222,0.00728477
McFlurry with M&M’s Candies (Snack),0.0608696,0.0333333,0.00331126
McFlurry with Oreo Cookies (Small),0.0782609,0.0777778,0.00794702
McFlurry with Oreo Cookies (Medium),0.0956522,0.105556,0.010596
McFlurry with Oreo Cookies (Snack),0.0521739,0.0527778,0.00529801
McFlurry with Reese's Peanut Butter Cups (Medium),0.104348,0.111111,0.0112583
McFlurry with Reese's Peanut Butter Cups (Snack),0.0521739,0.0555556,0.00529801
